geometry;name;indexOfID;id
MULTIPOLYGON(((7168319.58190287 661611.836672258,7168707.29416557 661892.880462148,7168693.65252405 661910.566742578,7168728.81349402 661937.998246331,7168781.01006861 661866.279674765,7168878.5092092 661936.442196322,7168879.29171465 661950.446225206,7168517.8671466 662439.967224037,7168493.40495664 662400.117625532,7168469.98256138 662314.933069206,7168246.56452805 662148.855043072,7168316.39487945 662058.347667394,7168138.38001005 661930.820809534,7168171.1050103 661882.50666922,7168171.28664867 661867.560758169,7168200.00906383 661833.181478663,7168319.58190287 661611.836672258)));Parque Cachoeira;24;118
MULTIPOLYGON(((7168722.56245785 661818.804540942,7168781.01006861 661866.279674765,7168728.81349402 661937.998246331,7168693.65252405 661910.566742578,7168707.29416557 661892.880462148,7168714.5902902 661885.946836808,7168706.97809633 661869.659893465,7168709.44953089 661853.163949957,7168721.1771881 661838.910234231,7168712.3029006 661832.583844624,7168722.56245785 661818.804540942)));Corpo de Bombeiros Araucária;25;119
MULTIPOLYGON(((7168939.35305259 661969.942882023,7168969.43777253 661993.013434687,7169006.79936884 662021.667962595,7169022.25730679 662033.188301295,7169036.49635372 662092.092954473,7169041.76021408 662105.609182882,7168973.27427934 662133.900473531,7168960.27820232 662100.328046315,7168947.95589015 662055.984125574,7168939.35305259 661969.942882023)));Escola Municipal Professora Terezinha Mariano Theobaldo;26;120
MULTIPOLYGON(((7168073.04603512 662690.397868009,7168109.86489589 662718.925555996,7168137.34457605 662740.216810886,7168122.80833909 662784.773125721,7168104.46702308 662837.902119811,7168082.88493251 662894.216041185,7168059.14254308 662950.513412056,7168038.19353279 662990.359718565,7167978.3535469 662939.288435078,7168022.80344208 662832.06167698,7168073.04603512 662690.397868009)));Condomínio Residencial Parque Europa;27;121
MULTIPOLYGON(((7169544.98580572 661174.806592512,7169612.14919647 661210.782726476,7169756.47390737 661284.092782059,7169814.24757527 661317.846463509,7169785.47998585 661378.97565337,7169777.05803353 661402.062064265,7169758.95404045 661479.998047288,7169751.53644393 661517.0919289,7169761.6631069 661565.429994773,7169763.19186528 661572.74261921,7169768.63610793 661596.097481663,7169481.47380211 661611.252401564,7169515.2818285 661346.307150703,7169436.64722549 661269.613065534,7169493.89648443 661190.142939256,7169504.91249083 661180.621259496,7169531.47901214 661176.853531852,7169544.98580572 661174.806592512)));Colégio Bom Jesus - São Vicente;28;122
MULTIPOLYGON(((7169962.13470109 661435.419086991,7170019.18595215 661457.45018094,7169994.13057066 661523.01567083,7170007.30719146 661528.108486987,7170002.02149377 661541.939626153,7169931.79361852 661514.825441065,7169962.13470109 661435.419086991)));Hospital Municipal de Araucária;29;123
MULTIPOLYGON(((7170180.13063526 661546.891222302,7170193.35018727 661562.152490156,7170164.93844232 661584.705859408,7170151.7318226 661568.37974552,7170180.13063526 661546.891222302)));Churrascaria Cristal;30;125
MULTIPOLYGON(((7170200.99275951 661581.455533075,7170205.90606173 661587.382707186,7170202.98490187 661589.839026815,7170199.02291291 661593.166890008,7170194.09853679 661587.239582196,7170200.99275951 661581.455533075)));Araucária Pneus;31;126
MULTIPOLYGON(((7170218.71509123 661609.089439419,7170234.56053355 661627.055238774,7170224.40746856 661635.733583753,7170215.75767414 661625.501022106,7170175.52636218 661659.857190762,7170168.3946556 661651.421422647,7170193.83911287 661629.656080555,7170218.71509123 661609.089439419)));Hotel Saara;32;127
MULTIPOLYGON(((7170237.25822196 661624.756968139,7170244.80366613 661633.790570077,7170219.35117674 661655.304715357,7170211.80562537 661646.281162239,7170224.40746856 661635.733583753,7170234.56053355 661627.055238774,7170237.25822196 661624.756968139)));Wenski Beer Microcervejaria;33;128
MULTIPOLYGON(((7170273.88399924 663293.641534221,7170367.03743419 663330.069443525,7170376.91174606 663412.941855101,7170318.30201076 663520.947315519,7170237.8184363 663531.816064463,7170156.34851014 663487.623003413,7170236.37911101 663330.237008048,7170273.88399924 663293.641534221)));TBG;34;130
MULTIPOLYGON(((7168789.45837936 665019.153802996,7169129.33565874 665100.963899845,7169159.70088197 665245.781800482,7169144.86189708 665405.129581827,7168994.18780998 665470.079191687,7168823.58247275 665552.039453991,7168793.93971737 665521.491538972,7168703.02006145 665074.131843715,7168789.45837936 665019.153802996)));Usina Termoelétrica de Araucária -UEGA;35;132
MULTIPOLYGON(((7170218.02252351 664391.02144126,7170284.40442442 664391.84003466,7170282.41774038 664759.163199796,7170215.48767154 664758.768043943,7170218.02252351 664391.02144126)));Galpão coque;36;146
MULTIPOLYGON(((7169140.36036176 665245.602235788,7169139.284274 665332.35227452,7169026.15618894 665334.726118335,7169026.74089303 665244.725661882,7169140.36036176 665245.602235788)));Subestação Gralha Azul;37;148
MULTIPOLYGON(((7165459.49598525 665977.701132754,7165489.72427207 665978.078218904,7165501.46164179 665997.187727888,7165459.49598525 665977.701132754)));Jardinete Dino Paolini;38;156
