stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7026,160265,"Rua Nova Esperança, 2021 - Sítio Cercado",638 - Pinheirinho (Ponto Final),-25.553431639973,-49.267471919049,,,0,,,
7047,160070,"Rua Rosa Cavichiolo Nichele, 122 - Umbara",639 - Futurama (Ponto Final),-25.567931628884,-49.283095910416,,,0,,,
7068,160345,"Rua Ângelo Rigolino, 46 - Tatuquara",640 - Palmeira (Ponto Final).,-25.550795544698,-49.299267929465,,,0,,,
7094,160383,"Rua Ângelo Gai, 467 - Umbara",641 - Luiz Nichele (Ponto Final).,-25.596179778773,-49.298075226984,,,0,,,
7122,160198,"Rua Helena Grodzki, 7810 - Umbara (Estrada do Ganchinho)",642 - Ganchinho (Sentido Ganchinho),-25.5988081,-49.261712,,,0,,,
7174,160292,"Rua Vergília Calixto, 606 - Umbará",643 - Umbará (Ponto Final - via C. Belo).,-25.6010162,-49.274194506152,,,0,,,
7235,170907,"Rua Júlio Pereira Sobrinho, 677 - Campo de Santana",646 - Pompéia/Janaina (Pompéia - Sentido Pinheirinho).,-25.587674416958,-49.324726446627,,,0,,,
7276,170401,Rua Prof. Manoel de Oliveira Franco Sobrinho 01 - Campo de Santana,646-Pompéia/Janaina (Ponto Final - Janaina).,-25.599446577056,-49.330826330688,,,0,,,
7332,170403,"Estrada da Caximba, 7966 - Caximba",Ponto de Parada 659 - Caximba / Olaria (Sentido Terminal Pinheirinho),-25.619355911266,-49.347205313492,,,0,,,
7482,170747,"Rua Antônia Molina Bela, 246- Cidade Industrial",Ponto de Parada 652- V. Verde (Ponto Final),-25.5276464,-49.3342498,,,0,,,
7515,180868,Rua Águas do Passaúna 20 - São Miguel,Ponto de Parada: 653-Sabará (Ponto Final),-25.500306607178,-49.354298115344,,,0,,,
7554,180864,Rua Águas do Passaúna 01 - São Miguel,Ponto de Parada 653 - Sabará (Sentido Sabará),-25.504861458582,-49.356103286508,,,0,,,
7657,170945,"Rua Roberto Osório de Almeida, 462 - Cidade Industrial",656 - Kamyr (Ponto Final).,-25.554310987493,-49.330238139881,,,0,,,
7853,150683,"Av. Pres. Wenceslau Braz, 948 - Parolin",661 - Lindóia (Ponto Final),-25.472328524725,-49.264626542258,,,0,,,
7875,150641,"Rua Santa Joana D'arc, 748 - Lindóia",662 - Dom Ático (Ponto Final).,-25.483147878396,-49.277405753373,,,0,,,
7897,150524,"Rua São Judas Tadeu, 447 - Capão Raso",663 - V. Cubas (Ponto Final).,-25.49819119772,-49.280062985879,,,0,,,
7919,150195,"Rua Sebastião Vieira da Rosa, 32 - Xaxim",665 - Vila Rex (Ponto Final).,-25.518613324699,-49.272125030688,,,0,,,
